Название;Артист;Продолжительность(мс);Наличие мата;Дата релиза;Жанр;Количество треков у артиста;Количество лайков артиста;Количество лайков альбома;ID трека;ID артиста;Язык
We Are Golden;MIKA;398550;False;2009-09-06T00:00:00+04:00;pop;133;19476;29;100057;17373;en
We Are Golden;MIKA;372060;False;2009-09-06T00:00:00+04:00;pop;133;19476;29;100058;17373;en
Kiss Me;New Found Glory;173920;False;2008-03-04T00:00:00+03:00;punk;140;9556;58;100061;9771;en
You Said No;Busted;166810;False;2002-12-02T00:00:00+03:00;pop;81;232;40;100064;13630;en
Kom loss i samba;The Gimmicks;119980;False;2009-09-18T00:00:00+04:00;latinfolk;31;2;2;100065;37342;sv
Just A Little Girl;Amy Studt;222270;False;2003-08-25T00:00:00+04:00;pop;12;12;5;100072;38988;en
Denna underbara sång;Michael B. Tretow;209550;False;2005-07-13T00:00:00+04:00;children;46;0;1;100082;38848;sv
Nu är det slut;Michael B. Tretow;219580;False;2005-07-13T00:00:00+04:00;children;46;0;1;100085;38848;sv
Foundations;Kate Nash;245120;True;2007-09-10T00:00:00+04:00;pop;80;2437;146;100088;27448;en
Medo De Amar;Jeito Moleque;291890;False;2021-08-06T00:00:00+03:00;latinfolk;84;10;0;100089;9897;pt
Misfit;Amy Studt;208950;False;2003-08-25T00:00:00+04:00;pop;12;12;5;100091;38988;en
Who's That Girl?;Eve;224750;True;2005-02-11T00:00:00+03:00;rock;233;1933;45;100092;15962;en
Always On Time;Ja Rule;242360;False;2011-02-21T00:00:00+03:00;pop;206;5052;54;100094;2905;en
Thong Song;Sisqo;208660;False;2009-09-28T00:00:00+04:00;pop;60;328;119;100097;2912;en
Boyfriend;Lili;198420;False;2009-09-18T00:00:00+04:00;pop;244;24;16;100102;94825;en
En herrskapstrall;Alice Babs;176400;False;2007-11-05T00:00:00+03:00;estrada;1003;16;3;100103;16659;sv
What's The Colour Of Love;Lili;208930;False;2009-09-18T00:00:00+04:00;pop;244;24;16;100104;94825;en
En röd blomma till en blond flicka;Östen Warnerbring;142780;False;2006-02-27T00:00:00+03:00;estrada;79;4;;100105;38600;sv
Something In Your Eyes;Lili;208350;False;2009-09-18T00:00:00+04:00;pop;244;24;16;100106;94825;en
Hålligång i skogen;Lars Berghagen;182620;False;2008-01-01T00:00:00+03:00;pop;37;2;3;100107;39010;sv
Hot In Herre;Nelly;227250;True;2009-09-28T00:00:00+04:00;pop;254;47506;119;100111;3445;en
Säg inte nej, säg kanske;Sven Ingvars;164350;False;2006-04-25T00:00:00+04:00;estrada;114;9;1;100114;39007;sv
Tiotusen röda rosor;Jan Hoiland;178050;False;2006-04-19T00:00:00+04:00;estrada;5;0;3;100115;39002;sv
Sakta vi gå genom stan;Monica Zetterlund;202360;False;2013-02-06T00:00:00+04:00;pop;367;77;6;100117;13761;sv
Stronger Than Me;Amy Winehouse;214540;False;2015-10-30T00:00:00+03:00;films;88;1099321;1803;100118;6177;en
Min gitarr (Guldgrävarsången);Sven Ingvars;159160;False;2006-04-25T00:00:00+04:00;estrada;114;9;1;100119;39007;sv
Blå blå är kärleken;Britt Bergström;181390;False;2006-04-19T00:00:00+04:00;estrada;2;0;;100120;38996;sv
Straight Up;Chanté Moore;219580;False;2016-03-25T00:00:00+03:00;rnb;69;100;7;100123;16084;en
Ja, det var då;Anita Lindblom;307940;False;2009-09-18T00:00:00+04:00;pop;120;10;1;100124;39013;sv
Foolish;Ashanti;227400;True;2002-04-02T00:00:00+04:00;pop;219;12291;2;100125;6188;en
I Will Survive;Gloria Gaynor;296100;True;1978-11-27T00:00:00+03:00;disco;302;1036591;102;100127;4530;en
Du borde köpa dej en Tyrolerhatt;Östen Warnerbring;218120;False;2006-02-27T00:00:00+03:00;estrada;79;4;;100128;38600;sv
Get Me Home;Foxy Brown;229190;True;2003-06-24T00:00:00+04:00;rnb;145;1666;57;100136;2932;en
Säj det (Tell Me);Lill Lindfors;269870;False;2009-09-18T00:00:00+04:00;pop;311;7;1;100138;38356;sv
Vid din sida;Sven Ingvars;161860;False;1966-05-01T00:00:00+03:00;pop;114;9;;100140;39007;sv
Vindens melodi;Max Fenders;190090;False;2009-09-18T00:00:00+04:00;estrada;15;2;3;100141;39030;sv
Turn Back Time;Aqua;246850;False;2009-11-16T00:00:00+03:00;pop;81;12677;1022;100143;26157;en
Sånt är livet;Anita Lindblom;154020;False;2006-06-27T00:00:00+04:00;estrada;120;10;3;100146;39013;sv
Spel-Olles gånglåt;Trio me' Bumba;147640;False;2006-04-19T00:00:00+04:00;estrada;93;0;;100148;39037;sv
You Make Me Feel;Cool James;224960;False;2009-09-18T00:00:00+04:00;dance;57;65;12;100150;36317;vi
Breathe In;Lucie Silvas;229180;False;2005-03-21T00:00:00+03:00;pop;57;97;18;100151;24316;en
Jennie Jennie;Lars Berghagen;206400;False;2008-01-01T00:00:00+03:00;pop;37;2;3;100152;39010;sv
En enkel sång om frihet;Lars Berghagen;226330;False;2008-01-01T00:00:00+03:00;pop;37;2;3;100155;39010;sv
En gång skall vi åter mötas (Einmal Sehen Wir Uns Wieder);Thory bernhards;191940;False;2009-09-25T00:00:00+04:00;estrada;90;1;3;100159;38475;sv
Hey Baberiba;Fridens Kilowatt & Rivaler med Burken;190270;False;2009-09-18T00:00:00+04:00;estrada;1;0;3;100161;39026;en
Börja om från början;Sven Ingvars;168090;False;2006-04-25T00:00:00+04:00;estrada;114;9;1;100163;39007;sv
Sommarvind;Östen Warnerbring;184390;False;2006-02-27T00:00:00+03:00;estrada;79;4;;100165;38600;sv
En sommardröm;Östen Warnerbring;199910;False;2006-02-27T00:00:00+03:00;estrada;79;4;;100167;38600;sv
Petter och Frida;Little Gerhard;186350;False;2009-09-18T00:00:00+04:00;rock;91;12;2;100168;39027;sv
Till Min Syster;Thorstein Bergman;116370;False;2009-09-18T00:00:00+04:00;estrada;118;0;3;100176;37873;sv
Den siste mohikanen;Little Gerhard;174600;False;2009-09-18T00:00:00+04:00;rock;91;12;2;100177;39027;sv
What's My Age Again?;blink-182;148370;True;1999-06-01T00:00:00+04:00;rock;156;312502;175;100189;8498;en
Crashed The Wedding;Busted;160040;False;2004-06-21T00:00:00+04:00;pop;81;232;4;100195;13630;en
Five Colours In Her Hair;McFly;176920;False;2009-09-14T00:00:00+04:00;rock;166;843;104;100198;1698;en
What I Got;Sublime;171330;True;2009-09-14T00:00:00+04:00;rock;164;24610;104;100204;39073;en
Swing, Swing;The All-American Rejects;205810;False;2009-09-14T00:00:00+04:00;rock;57;6930;104;100206;2070;en
Our Window;Noah & The Whale;348390;False;2009-01-01T00:00:00+03:00;indie;42;1340;254;100207;32844;en
Love Of An Orchestra;Noah & The Whale;123210;False;2009-01-01T00:00:00+03:00;indie;42;1340;254;100209;32844;en
Slow Glass;Noah & The Whale;197900;False;2009-01-01T00:00:00+03:00;indie;42;1340;254;100211;32844;en
Blue Skies;Noah & The Whale;247730;False;2009-01-01T00:00:00+03:00;indie;42;1340;254;100212;32844;en
Stranger;Noah & The Whale;317510;False;2009-01-01T00:00:00+03:00;indie;42;1340;254;100214;32844;en
My Broken Heart;Noah & The Whale;311320;False;2009-01-01T00:00:00+03:00;indie;42;1340;254;100216;32844;en
I Have Nothing;Noah & The Whale;162820;False;2009-01-01T00:00:00+03:00;indie;42;1340;254;100218;32844;en
The First Days Of Spring;Noah & The Whale;399160;False;2009-01-01T00:00:00+03:00;indie;42;1340;254;100220;32844;en
My Door Is Always Open;Noah & The Whale;275610;False;2009-01-01T00:00:00+03:00;indie;42;1340;254;100222;32844;en
Brand New Love;Tommy Sparks;213390;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100233;39083;en
Kill The Summer;Tommy Sparks;243800;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100234;39083;en
The Real Thing;Vanessa Williams;200330;False;2011-01-18T00:00:00+03:00;funk;139;3006;4;100239;555;en
Miracle;Tommy Sparks;187660;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100240;39083;en
These Things Happen;Tommy Sparks;210880;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100244;39083;en
Ready Teddy;Jerry Williams;134470;False;2009-09-16T00:00:00+04:00;rock;415;25;3;100246;2786;es
She's Got Me Dancing;Tommy Sparks;207620;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100247;39083;en
Hammer;Tommy Sparks;272240;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100250;39083;en
Who's Gonna Follow You Home;Jerry Williams;232720;False;2009-09-16T00:00:00+04:00;rock;415;25;3;100252;2786;en
Much Too Much;Tommy Sparks;202990;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100256;39083;en
I Can Jive;Jerry Williams;286270;False;2009-09-16T00:00:00+04:00;rock;415;25;3;100258;2786;en
Health Club;Tommy Sparks;230500;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100262;39083;en
Weekend's Over;Tommy Sparks;196290;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100265;39083;en
I'm A Rope;Tommy Sparks;137480;False;2008-01-01T00:00:00+03:00;pop;17;132;53;100267;39083;en
When Will You Call;Terence Blanchard;266310;False;2009-08-18T00:00:00+04:00;jazz;376;249;4;100268;18028;en
Git It;Jerry Williams;158560;False;2009-09-16T00:00:00+04:00;rock;415;25;3;100273;2786;en
Sinnerman;Jerry Williams;275170;False;2009-09-16T00:00:00+04:00;rock;415;25;3;100279;2786;en
Earth Intruders;Björk;231740;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100281;7276;en
Wanderlust;Björk;346660;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100282;7276;en
Pleasure Is All Mine;Björk;200490;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100283;7276;en
Pagan Poetry;Björk;314490;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100284;7276;en
Vertebrae By Vertebrae;Björk;308520;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100285;7276;en
Innocence;Björk;239920;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100286;7276;en
All Is Full Of Love;Björk;244770;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100287;7276;en
Hunter;Björk;258500;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100288;7276;en
Declare Independence;Björk;258280;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100289;7276;en
I Miss You;Björk;210460;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100290;7276;en
Army Of Me;Björk;260140;False;2009-06-23T00:00:00+04:00;indie;255;36696;96;100291;7276;en
War Inside My Head;Children Of Bodom;205260;False;2009-01-01T00:00:00+03:00;deathmetal;131;56156;447;100305;15280;en
Hell Is For Children;Children Of Bodom;240840;False;2009-01-01T00:00:00+03:00;deathmetal;131;56156;447;100307;15280;en
Mass Hypnosis;Children Of Bodom;244950;False;2016-02-12T00:00:00+03:00;metal;131;56156;86;100308;15280;en
Silent Scream;Children Of Bodom;198130;True;2008-01-01T00:00:00+03:00;deathmetal;131;56156;2699;100309;15280;en
Antisocial;Children Of Bodom;216080;False;2009-01-01T00:00:00+03:00;deathmetal;131;56156;447;100310;15280;en
Don't Stop At The Top;Children Of Bodom;204690;False;2009-01-01T00:00:00+03:00;deathmetal;131;56156;447;100311;15280;en
Somebody Put Something In My Drink;Children Of Bodom;198720;False;2008-01-01T00:00:00+03:00;deathmetal;131;56156;2699;100312;15280;en
Simple As...;Kid Cudi;151330;True;;;230;77658;1201;100320;35349;en
Day 'N' Nite;Kid Cudi;281740;True;;;230;77658;1201;100321;35349;en
Hyyerr;Kid Cudi;212100;True;;;230;77658;1201;100323;35349;en
Soundtrack 2 My Life;Kid Cudi;235620;True;;;230;77658;1201;100325;35349;en
Solo Dolo (Nightmare);Kid Cudi;266300;True;;;230;77658;1201;100327;35349;en
Cudi Zone;Kid Cudi;259040;True;;;230;77658;1201;100330;35349;en
Do My Bad Alone;Chico Debarge;186290;False;2009-09-20T00:00:00+04:00;rnb;69;26;4;100334;2432;en
Day 'N' Nite (Nightmare);Kid Cudi;220940;True;;;230;77658;1201;100335;35349;en
Pursuit Of Happiness (Nightmare);Kid Cudi;295680;True;;;230;77658;1201;100337;35349;en
Enter Galactic (Love Connection Part I);Kid Cudi;260200;True;;;230;77658;1201;100339;35349;en
Oh No (Man);Chico Debarge;247560;False;2009-09-20T00:00:00+04:00;rnb;69;26;4;100340;2432;en
My World;Kid Cudi;243020;True;;;230;77658;1201;100341;35349;en
I'm Ok;Chico Debarge;207100;False;2009-09-20T00:00:00+04:00;rnb;69;26;4;100342;2432;en
In My Dreams (Cudder Anthem);Kid Cudi;199000;True;;;230;77658;1201;100343;35349;en
Sky Might Fall;Kid Cudi;220900;True;;;230;77658;1201;100345;35349;en
Chico's Prayer (Interlude);Chico Debarge;63340;False;2009-09-20T00:00:00+04:00;rnb;69;26;4;100346;2432;ja
Man On The Moon;Kid Cudi;211130;True;2009-09-14T00:00:00+04:00;rap;230;77658;5577;100347;35349;en
Nefertiti / Center Of The Universe;Chico Debarge;133770;False;2009-09-20T00:00:00+04:00;rnb;69;26;4;100348;2432;en
Alive (Nightmare);Kid Cudi;246760;True;;;230;77658;1201;100350;35349;en
T.G.I.F.;Kid Cudi;151120;True;2009-09-14T00:00:00+04:00;rap;230;77658;5578;100352;35349;en
Slick;Chico Debarge;272410;False;2009-09-20T00:00:00+04:00;rnb;69;26;4;100353;2432;en
Up Up & Away;Kid Cudi;227340;True;;;230;77658;1201;100354;35349;en
Sink;Brand New;199860;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100355;28392;en
Bought A Bride;Brand New;185990;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100357;28392;en
Heart Of A Lion (Kid Cudi Theme Music);Kid Cudi;261360;True;;;230;77658;1201;100358;35349;en
At The Bottom;Brand New;244450;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100360;28392;en
Make Her Say;Kid Cudi;216410;True;2009-09-14T00:00:00+04:00;rap;230;77658;142;100361;35349;en
In A Jar;Brand New;186010;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100363;28392;en
Daisy;Brand New;186250;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100364;28392;en
Gasoline;Brand New;212160;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100365;28392;en
Bed;Brand New;189590;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100366;28392;en
Noro;Brand New;386820;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100367;28392;en
Vices;Brand New;203670;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100368;28392;en
Be Gone;Brand New;90140;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100369;28392;en
You Stole;Brand New;360010;False;2009-09-22T00:00:00+04:00;alternative;72;3659;277;100370;28392;en
This Can't Be Life;Jay-Z;288260;True;2000-10-30T00:00:00+03:00;rap;475;455397;307;100371;3440;en
The Boomin' System;LL COOL J;220560;False;1996-11-29T00:00:00+03:00;foreignrap;253;6067;231;100372;2901;en
What We Do;Freeway;229100;True;2008-05-29T00:00:00+04:00;rap;754;136;40;100373;5625;en
Break Through The Silence;Monty Are I;222610;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100374;29162;en
Convoy Of Angels;Monty Are I;235140;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100375;29162;en
Sand Riders Doomsday;Monty Are I;194040;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100376;29162;en
All Of You Tonight;Monty Are I;222610;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100377;29162;en
Making Sounds;Monty Are I;225940;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100378;29162;en
Kaleidoscope;Monty Are I;224860;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100379;29162;en
On The Wire;Monty Are I;235880;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100380;29162;en
One In A Million;Monty Are I;178480;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100381;29162;en
Mirage;Monty Are I;172450;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100382;29162;en
The Stand;Monty Are I;213900;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100383;29162;en
Desert;Monty Are I;233260;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100384;29162;en
Hope;Monty Are I;213490;False;2009-09-22T00:00:00+04:00;rock;25;51;10;100385;29162;en
Prologue (2 Q's Rap);Quincy Jones;64180;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;142;100386;748;en
I Don't Go For That;Quincy Jones;311510;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;142;100387;748;en
The Verb To Be;Quincy Jones;29150;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;142;100388;748;en
The Places You Find Love;Quincy Jones;385620;False;2004-01-13T00:00:00+03:00;rnb;1622;9153;70;100389;748;en
Tomorrow (A Better You, Better Me);Quincy Jones;293530;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;142;100390;748;en
Back On The Block;Quincy Jones;394180;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;142;100391;748;en
Birdland;Quincy Jones;333580;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;142;100393;748;en
Setembro (Brazilian Wedding Song);Quincy Jones;305370;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;142;100394;748;en
Jazz Corner Of The Word;Quincy Jones;174080;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;142;100396;748;en
I'll Be Good To You;Quincy Jones;296060;False;2021-09-10T00:00:00+03:00;soul;1622;9153;355;100397;748;en
Wee B. Dooinit (Acapella Party);Quincy Jones;214280;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;142;100398;748;en
The Secret Garden (Sweet Seduction Suite);Quincy Jones;400730;False;2009-05-19T00:00:00+04:00;rnb;1622;9153;299;100399;748;en
Rang Zuo Jiao Xian Yi Bu;Swing;216520;False;2009-09-09T00:00:00+04:00;pop;24;7;1;100400;8849772;zh-cn
Mian Bao Sheng Ming;Swing;219730;False;2009-09-09T00:00:00+04:00;pop;24;7;1;100404;8849772;ko
Let It Go;Swing;254560;False;2009-09-09T00:00:00+04:00;pop;24;7;1;100405;8849772;zh-cn
Yu Xia Xie;Swing;235410;False;2009-09-09T00:00:00+04:00;pop;24;7;1;100406;8849772;no
Zhong Lou Tuo Xia;Swing;216790;False;2009-09-09T00:00:00+04:00;pop;24;7;1;100407;8849772;zh-cn
So Say We All;Swing;213420;False;2009-09-09T00:00:00+04:00;pop;24;7;1;100408;8849772;zh-cn
Wo You Huo;Swing;178360;False;2009-09-09T00:00:00+04:00;pop;24;7;1;100411;8849772;ko
Automatic;Tokio Hotel;195600;False;2010-12-13T00:00:00+03:00;alternative;120;56377;541;100426;10205;en
Obsessed;Mariah Carey;200510;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100440;4883;en
Up Out My Face (the reprise);Mariah Carey;51480;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100441;4883;en
Tutto Bene;Nina Zilli;166050;False;2010-02-19T00:00:00+03:00;pop;65;392;37;100442;39199;it
Obsessed;Mariah Carey;192390;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100443;4883;en
Penelope;Nina Zilli;209060;False;2010-02-19T00:00:00+03:00;pop;65;392;37;100444;39199;it
Obsessed;Mariah Carey;242200;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100445;4883;en
Come Il Sole;Nina Zilli;217220;False;2010-02-19T00:00:00+03:00;pop;65;392;37;100446;39199;it
Betcha Gon' Know (the prologue);Mariah Carey;240480;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100448;4883;en
L'Inferno;Nina Zilli;157690;False;2010-02-19T00:00:00+03:00;pop;65;392;37;100449;39199;it
Cool Joe, Mean Joe (Killer Joe);Quincy Jones;452100;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;132;100450;748;en
50mila;Nina Zilli;174160;True;2010-02-19T00:00:00+03:00;pop;65;392;37;100451;39199;it
You Put A Move On My Heart;Quincy Jones;373210;False;1999-02-09T00:00:00+03:00;rnb;1622;9153;211;100453;748;en
Bellissimo;Nina Zilli;194000;False;2010-02-19T00:00:00+03:00;pop;65;392;37;100454;39199;it
Angels Cry;Mariah Carey;241920;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100455;4883;en
L'Amore Verrà;Nina Zilli;195130;False;2010-02-19T00:00:00+03:00;pop;65;392;37;100457;39199;it
Heaven's Girl;Quincy Jones;326320;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;132;100458;748;en
I Want To Know What Love Is;Mariah Carey;207170;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100459;4883;en
Moody's Mood For Love (I'm In The Mood For Love);Quincy Jones;258360;False;1999-02-09T00:00:00+03:00;rnb;1622;9153;211;100460;748;en
Rock With You;Quincy Jones;249930;False;1999-02-09T00:00:00+03:00;rnb;1622;9153;211;100462;748;en
Do Nothin' Till You Hear From Me;Quincy Jones;237840;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;132;100464;748;en
Obsessed;Mariah Carey;199780;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100465;4883;en
Slow Jams;Quincy Jones;450580;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;132;100466;748;en
Inseparable;Mariah Carey;213760;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100467;4883;en
It's A Wrap;Mariah Carey;238880;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100469;4883;en
Standing O;Mariah Carey;240060;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100471;4883;en
Obsessed;Mariah Carey;251580;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100474;4883;en
At The End Of The Day (Grace);Quincy Jones;462410;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;132;100475;748;en
Languishing (the interlude);Mariah Carey;153650;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100476;4883;en
Let The Good Times Roll;Quincy Jones;175770;False;2005-08-09T00:00:00+04:00;rnb;1622;9153;132;100477;748;en
H.A.T.E.U.;Mariah Carey;267670;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100481;4883;en
Up Out My Face;Mariah Carey;221280;False;2009-09-29T00:00:00+04:00;pop;368;126722;404;100482;4883;en
Xin De Ju Li;Eason Chan;86830;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100495;5082;ko
Wo Jia Ni;Eason Chan;68310;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100496;5082;ko
Ni Wei Shen Me Ku Le Me;Eason Chan;92180;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100502;5082;ko
Zhe Yang De Yi Ge Ma Fan;Eason Chan;88920;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100505;5082;ca
Chuang Tou Deng;Eason Chan;70060;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100508;5082;ko
Mou Qing Hai Ming;Eason Chan;80480;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100510;5082;ko
Zai Ni Shen Bian;Eason Chan;82520;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100512;5082;ko
Alleen Gaan;Will Tura;272060;False;2009-09-11T00:00:00+04:00;estrada;81;2;2;100514;39210;nl
Nothing Ever Happened;Eason Chan;85960;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100515;5082;en
Cong He Shuo Qi;Eason Chan;94220;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100518;5082;ko
Duo Shao;Eason Chan;87350;False;2009-09-09T00:00:00+04:00;pop;370;218;2;100521;5082;ko
The Child;Ravi Shaza;236000;False;2015-03-31T00:00:00+03:00;folk;1;0;1;100522;39229;en
Automatisch;Tokio Hotel;195000;False;2010-12-13T00:00:00+03:00;alternative;120;56377;2162;100533;10205;de
Consider Me Gone;Reba McEntire;220100;False;2009-08-18T00:00:00+04:00;country;447;452;3;100534;16094;en
Just When I Thought I'd Stopped Loving You;Reba McEntire;232200;False;2009-08-18T00:00:00+04:00;country;447;452;3;100535;16094;en
I Want A Cowboy;Reba McEntire;221700;False;2009-08-18T00:00:00+04:00;country;447;452;3;100536;16094;en
Pink Guitar;Reba McEntire;175440;False;2009-08-18T00:00:00+04:00;country;447;452;3;100537;16094;en
She's Turning 50 Today;Reba McEntire;247090;False;2009-08-18T00:00:00+04:00;country;447;452;3;100538;16094;en
Eight Crazy Hours (In The Story Of Love);Reba McEntire;246840;False;2009-08-18T00:00:00+04:00;country;447;452;3;100539;16094;en
But Why;Reba McEntire;210490;False;2009-08-18T00:00:00+04:00;country;447;452;3;100540;16094;en
Strange;Reba;180320;False;2009-08-18T00:00:00+04:00;country;24;2;3;100541;634796;en
Nothing To Lose;Reba McEntire;289580;False;2009-08-18T00:00:00+04:00;country;447;452;3;100543;16094;en
Over You;Reba McEntire;239050;False;2009-08-18T00:00:00+04:00;country;447;452;3;100545;16094;en
Maggie Creek Road;Reba McEntire;292530;False;2009-08-18T00:00:00+04:00;country;447;452;3;100547;16094;en
I'll Have What She's Having;Reba McEntire;177850;False;2009-08-18T00:00:00+04:00;country;447;452;3;100548;16094;en
I Keep On Lovin' You;Reba McEntire;195960;False;2009-08-18T00:00:00+04:00;country;447;452;3;100549;16094;en
Get On Up, Come On In;Paulo Mendonca;250140;False;2009-09-25T00:00:00+04:00;rock;77;12;8;100550;39264;en
People;Paulo Mendonca;259910;False;2009-09-25T00:00:00+04:00;rock;77;12;8;100553;39264;en
If You Want My Love;Paulo Mendonca;210250;False;2009-09-25T00:00:00+04:00;rock;77;12;8;100555;39264;en
